path,old_url,new_url
output_md/wiki/产品母页/国寿丰饶传承3 × 广发银行保费融资.md,../../什么是香港保险/蓝星探险_年化单利14%，香港融资保单是骗局吗？_20260426_185845.md,../../什么是香港保险/260426_蓝星探险_年化单利14%，香港融资保单是骗局吗？_185845.md
output_md/wiki/产品母页/国寿丰饶传承3 × 广发银行保费融资.md,../../香港储蓄险/港险圈研究院_9年净赚一倍多，年化13.74%：这个“杠杆工具”，正在悄悄..._20260426_183349.md,../../香港储蓄险/260426_港险圈研究院_9年净赚一倍多，年化13.74%：这个“杠杆工具”，正在悄悄..._183349.md
output_md/wiki/产品母页/国寿丰饶传承3 × 广发银行保费融资.md,../../什么是香港保险/有态度的精蒜湿_我们拆解了100个港险底层黑盒，写成这本“避坑指南”_20260427_155905.md,../../什么是香港保险/260427_有态度的精蒜湿_我们拆解了100个港险底层黑盒，写成这本“避坑指南”_155905.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/港险宝宝PRO_“258”提取密码，30年登顶6.5%！2年缴安盛「盛利2」..._20260426_190207.md,../../热门产品/260426_港险宝宝PRO_“258”提取密码，30年登顶6.5%！2年缴安盛「盛利2」..._190207.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/香港保险行业资讯_香港安盛储蓄险（盛利2），不同缴费期的分红差距_20260427_155958.md,../../热门产品/260427_香港保险行业资讯_香港安盛储蓄险（盛利2），不同缴费期的分红差距_155958.md
output_md/wiki/产品母页/安盛盛利2.md,../../其他/港险优选专家_港险顶流对决：安盛「盛利2」vs永明「星河尊享2」，200万..._20260426_185442.md,../../其他/260426_港险优选专家_港险顶流对决：安盛「盛利2」vs永明「星河尊享2」，200万..._185442.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/蓝星探险_2年缴盛利2全面测评，港险真正的天花板来了_20260426_190215.md,../../热门产品/260426_蓝星探险_2年缴盛利2全面测评，港险真正的天花板来了_190215.md
output_md/wiki/产品母页/安盛盛利2.md,../../其他/港险优选专家_全网吹爆的安盛盛利2两年缴费，一个致命短板竟然被忽略了！_20260426_144454.md,../../其他/260426_港险优选专家_全网吹爆的安盛盛利2两年缴费，一个致命短板竟然被忽略了！_144454.md
output_md/wiki/产品母页/安盛盛利2.md,../../z产品对比/港险渠道_友邦环宇盈活 vs 安盛盛利2II - 至尊：深度对比解析_20260426_190314.md,../../z产品对比/260426_港险渠道_友邦环宇盈活 vs 安盛盛利2II - 至尊：深度对比解析_190314.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/伟伟说投资_安盛盛利2（2年缴）全面测评！2026最值得买的储蓄险？_20260426_190300.md,../../热门产品/260426_伟伟说投资_安盛盛利2（2年缴）全面测评！2026最值得买的储蓄险？_190300.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/蓝星探险_进化后的安盛盛利2，太恐怖了！_20260426_190219.md,../../热门产品/260426_蓝星探险_进化后的安盛盛利2，太恐怖了！_190219.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/香港保险行业资讯_2026年3月30日，香港安盛储蓄险【盛利2】新增2年缴费期_20260426_190243.md,../../热门产品/260426_香港保险行业资讯_2026年3月30日，香港安盛储蓄险【盛利2】新增2年缴费期_190243.md
output_md/wiki/产品母页/安盛盛利2.md,../../热门产品/崔伟说投资_安盛盛利 II 2 年期重磅回归！12%预缴利息+258极致..._20260426_190237.md,../../热门产品/260426_崔伟说投资_安盛盛利 II 2 年期重磅回归！12%预缴利息+258极致..._190237.md
