title,url,mp_name,rejected_type,rejected_reason,rejected_time
港版CRS升级！加密资产、离岸架构、双重税务居民迎来强监管！,https://mp.weixin.qq.com/s/m5QjPzA0cnL0euiOgPjqqg,港险宝宝PRO,🙅‍ 不选,标题涉及'CRS'和'加密资产'，触及政策红线，直接剔除。,2026-04-03 16:35:03
2026年4月1日，香港永明停售高端医疗险【精心医疗保】,https://mp.weixin.qq.com/s/WpymjmZXWXGuHm77vjqJgg,香港保险行业资讯,🙅‍ 不选,纯医疗险，非分红/储蓄险核心，无港险对比，直接无效。,2026-04-03 16:35:03
2026年4月1日起，香港永明上调医疗险保费8%—12%,https://mp.weixin.qq.com/s/jL_USASvo_1DVEQbhZLMjg,香港保险行业资讯,🙅‍ 不选,纯医疗险调整，非分红/储蓄险核心，直接无效。,2026-04-03 16:35:03
中国银行开门红，50岁存100万，53岁每年领5万养老金，本金安全，用利息养老！,https://mp.weixin.qq.com/s/7QE6CQQcfSPwjg3DFAjHtQ,小冯妮儿聊港险,🙅‍ 不选,纯内地银行/保险产品，无港险相关。,2026-04-03 16:35:03
太平人寿宝藏产品， 45岁交够80万，46岁领40000元养老金，领一辈子！,https://mp.weixin.qq.com/s/_x6cIHjHDXttval8tvr4QQ,小冯妮儿聊港险,🙅‍ 不选,纯内地太平人寿产品，无港险对比。,2026-04-03 16:35:03
实测对比｜香港重疾顶流！富W危疾应Y保，凭什么更值得选？,https://mp.weixin.qq.com/s/jgEZW02bVbTwuxhZhAIJgw,港险圈研究院,🙅‍ 不选,纯重疾险，非分红/储蓄险核心，直接无效。,2026-04-03 16:35:03
不内耗、不辜负｜回应白皮书所有反馈,https://mp.weixin.qq.com/s/KEfG2Cb4YsqDOP6e8TM1QQ,有态度的精蒜湿,🙅‍ 不选,标题无关保险或港险，像是公司内部回应反馈的碎碎念，无价值。,2026-04-03 16:35:03
大额存单到期怎么办？山东老板教你一招！年收12%利息,https://mp.weixin.qq.com/s/lDV6OAlORySTvzpuH0HR0A,伟伟说投资,🙅‍ 不选,纯内地银行大额存单攻略，无港险对比或提及，属于无效低价值内容。,2026-04-03 16:35:03
未来10年，现金才是你最危险的资产，为什么？,https://mp.weixin.qq.com/s/Sle8eBLe6sPu6vZikALKTw,伟伟说投资,🙅‍ 不选,泛泛理财建议，无港险相关性。,2026-04-03 16:35:03
支付宝新年金，每年5.21%，靠谱吗？,https://mp.weixin.qq.com/s/umXjo8XMv4TtN1BfK_0bnw,伟伟说投资,🙅‍ 不选,纯内地支付宝年金产品，无港险对比。,2026-04-03 16:35:03
【理赔实录】从肺结节到乳腺癌，赔了57万，后面还能再赔！,https://mp.weixin.qq.com/s/usUc0Lvg_kf-mEUXpROuIA,伟伟说投资,🙅‍ 不选,理赔实录未指定港险，属于纯内地保险视角或无关。,2026-04-03 16:35:03
把钱留给子女，指数万能险（IUL）和杠杆寿，哪个更合适？,https://mp.weixin.qq.com/s/xTcb0K49zPOmPzfXZKR23A,伟伟说投资,🙅‍ 不选,涉及IUL（美股指数万能险）和杠杆寿，非港险焦点，纯美式产品对比。,2026-04-03 16:35:03
现在真的能有3.97%利息的产品吗？,https://mp.weixin.qq.com/s/RbH05_0yFwAG7WKbbgJg3g,伟伟说投资,🙅‍ 不选,泛泛利息产品疑问，无港险或具体产品提及。,2026-04-03 16:35:03
不用请保姆、不拖累子女！江浙沪这家“医养级”养老院到底有多专业？,https://mp.weixin.qq.com/s/BpcmPStQ69gA1CTuhPeJjw,伟伟说投资,🙅‍ 不选,养老院介绍，非保险相关。,2026-04-03 16:35:03
35只银行理财发行失败！你存在银行的钱还安全吗？,https://mp.weixin.qq.com/s/5HTaSyaCEJLk7uuMv9E27g,伟伟说投资,🙅‍ 不选,纯内地银行理财风险讨论，无港险相关。,2026-04-03 16:35:03
永M万年青·星河系列II重磅升级——别人让你做选择，永M给你「大满冠」,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2026-04-03 16:35:03
2026年，香港10款重疾险「赠送保额」对比,https://mp.weixin.qq.com/s/5Is5OFTj9uFuJTQg-ra05w,香港保险行业资讯,🙅‍ 不选,本项目核心任务是“香港分红险/储蓄险”，重疾险属于非核心业务的纯保障类产品，且不符合分红险映射逻辑，故剔除。,2026-04-05 22:59:48
2026年，香港10款重疾险保单失效最长几年可申请复效？,https://mp.weixin.qq.com/s/2f7g6df55jkiVXv83uU0IQ,香港保险行业资讯,🙅‍ 不选,标题聚焦于重疾险的条款细节，不属于分红险/储蓄险范畴，属于无效内容。,2026-04-05 22:59:48
香港CRS2.0正式启动！全球税务透明化再升级，高净值人群必看,https://mp.weixin.qq.com/s/e6Q6M-5p-nZCSCIrrGbZzg,港险圈研究院,🙅‍ 不选,触碰政策红线，标题明确包含“CRS”关键词，属于无条件剔除的合规敏感内容。,2026-04-05 22:59:48
85年烽火连天，标普500照样涨了1.2 万倍,https://mp.weixin.qq.com/s/Buq2V1Ur8XgZKXGIpFX0uA,有态度的精蒜湿,🙅‍ 不选,纯金融历史或指数讨论，与香港保险业务无直接关联，属于无效内容。,2026-04-05 22:59:48
张雪造车，给普通人的投资忠告~,https://mp.weixin.qq.com/s/r18MTi2JUUg-eMY7RU4nAw,有态度的精蒜湿,🙅‍ 不选,个人碎碎念或跨行业投资评论，与香港保险无关，属于无效内容。,2026-04-05 22:59:48
监管再挥刀！3.9%将成历史，4.25%已连夜跑路！630前如何选择？,https://mp.weixin.qq.com/s/tXOAjX9H4O-9_2szbWqq4A,伟伟说投资,🙅‍ 不选,标题中的利率数字（3.9%、4.25%）和“630”节点明显指向内地保险市场的预定利率下调，属于纯内地视角，故剔除。,2026-04-05 22:59:48
永M万年青·星河系列II重磅升级——别人让你做选择，永M给你「大满冠」,https://mp.weixin.qq.com/s/NgAzDQTx_UHS9Urv2G5nTw,香港保险圈,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2026-04-09 00:24:05
金融核弹：香港宏利保单融资，不依托银行贷款，保险公司独自完成融资,https://mp.weixin.qq.com/s/7Unfhk5GK1t28LWg8MV7oQ,港险渠道,已删除,"文章已被删除或无法访问，生成了""未命名文章""",2026-04-09 00:24:40
3. 确认过眼神，是保诚！,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2026-04-09 00:24:47
5. 永M万年青·星河系列II重磅升级——别人让你做选择，永M给你「大满冠」,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2026-04-09 00:24:47
8. 极端危机下，银行和保险哪个更靠谱？,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2026-04-09 00:24:47
11. 进化后的安盛盛利2，太恐怖了！,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2026-04-09 00:24:47
12. 2026赴港投保全流程，看这一篇就够了！,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2026-04-09 00:24:47
13. 2025年大幅盈利！保诚翻身了？,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2026-04-09 00:24:47
17. 4月香港分红险｜最新优惠全（汇总）,,未知公众号,匹配失败,无法找到相似度超过95%的原始文章,2026-04-09 00:24:47
